"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"5626776","orange","orange.com","1988","telecommunications","10001+","paris, île-de-france, france","france","linkedin.com/company/orange","36340","92180"
"3621470","linkedin","linkedin.com","2003","internet","10001+","mountain view, california, united states","united states","linkedin.com/company/linkedin","36309","43622"
"6821034","barclays","barclays.com","","financial services","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/barclays-bank","36200","105849"
"3372569","facebook","facebook.com","2004","internet","10001+","menlo park, california, united states","united states","linkedin.com/company/facebook","36149","49059"
"4837091","northrop grumman corporation","northropgrumman.com","1939","defense & space","10001+","falls church, virginia, united states","united states","linkedin.com/company/northrop-grumman-corporation","35965","76734"
"3281536","fca fiat chrysler automobiles","fcagroup.com","1925","automotive","10001+","turin, turin, italy","united kingdom","linkedin.com/company/fcagroup","35891","71331"
"564320","adp","adp.com","1949","human resources","10001+","roseland, new jersey, united states","united states","linkedin.com/company/adp","35686","81555"
"6924238","medtronic","medtronic.com","1949","medical devices","10001+","minneapolis, minnesota, united states","united states","linkedin.com/company/medtronic","35664","68465"
"2157414","abbott","abbott.com","1980","hospital & health care","10001+","illinois city, illinois, united states","united states","linkedin.com/company/abbott-","35603","95035"
"4520410","chevron","chevron.com","1879","oil & energy","10001+","san ramon, california, united states","united states","linkedin.com/company/chevron","34995","71825"
"1774905","roche","roche.com","1896","biotechnology","10001+","basel, basel-city, switzerland","switzerland","linkedin.com/company/roche","34844","81068"
"370296","american express","americanexpress.com","1850","financial services","10001+","new york, new york, united states","united states","linkedin.com/company/american-express","34816","104036"
"1603851","samsung electronics","samsung.com","1938","electrical/electronic manufacturing","10001+","none, south carolina, united states","united states","linkedin.com/company/samsung-electronics","34021","77267"
"2617180","macy's","macysjobs.com","1858","retail","10001+","cincinnati, ohio, united states","united states","linkedin.com/company/macy","33795","110896"
"3316706","thomson reuters","tr.com","2008","information technology and services","10001+","new york, new york, united states","united states","linkedin.com/company/thomson-reuters","33745","96521"
