"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"3183960","valeo","valeo.com","1923","automotive","10001+","paris, île-de-france, france","france","linkedin.com/company/valeo","19383","48834"
"2046863","eaton","eaton.com","1911","electrical/electronic manufacturing","10001+","cleveland, ohio, united states","united states","linkedin.com/company/eaton","19358","48225"
"3404418","aflac","aflac.com","1955","insurance","10001+","columbus, georgia, united states","united states","linkedin.com/company/aflac","19357","37516"
"3065805","united nations","un.org","1945","international affairs","10001+","new york, new york, united states","united states","linkedin.com/company/united-nations","19263","53077"
"2211827","flextronics","flex.com","","electrical/electronic manufacturing","10001+","","singapore","linkedin.com/company/flexintl","19039","46941"
"1757223","standard bank group","standardbank.com","1862","financial services","10001+","johannesburg, gauteng, south africa","south africa","linkedin.com/company/standard-bank-group","18967","37478"
"6604299","subway","subway.com","1965","restaurants","10001+","","","linkedin.com/company/subway","18960","60191"
"1165351","mayo clinic","mayoclinic.org","","hospital & health care","10001+","rochester, minnesota, united states","united states","linkedin.com/company/mayo-clinic","18846","31647"
"703734","booz allen hamilton","boozallen.com","1914","management consulting","10001+","mclean, virginia, united states","united states","linkedin.com/company/booz-allen-hamilton","18838","48211"
"5003828","allianz","allianz.com","1890","financial services","10001+","munich, bavaria, germany","germany","linkedin.com/company/allianz","18824","40564"
"4910792","telstra","telstra.com","1901","telecommunications","10001+","","australia","linkedin.com/company/telstra","18773","49199"
"6348526","qualcomm","qualcomm.com","1985","wireless","10001+","san diego, california, united states","united states","linkedin.com/company/qualcomm","18614","36464"
"3135963","john deere","johndeere.com","1837","machinery","10001+","moline, illinois, united states","united states","linkedin.com/company/john-deere","18546","34780"
"4265345","aetna","aetna.com","1853","insurance","10001+","hartford, connecticut, united states","united states","linkedin.com/company/aetna","18519","39194"
"7046063","enterprise rent-a-car","enterprise.com","1957","automotive","10001+","hillsborough, new hampshire, united states","united states","linkedin.com/company/enterprise-rent-a-car","18509","83709"
"4322431","bristol-myers squibb","bms.com","1887","pharmaceuticals","10001+","new york, new york, united states","united states","linkedin.com/company/bristol-myers-squibb","18504","57029"
"6434336","alberta health services","albertahealthservices.ca","2008","hospital & health care","10001+","edmonton, alberta, canada","canada","linkedin.com/company/alberta-health-services","18502","24861"
"272909","us department of homeland security","dhs.gov","2003","government administration","10001+","washington, district of columbia, united states","united states","linkedin.com/company/us-department-of-homeland-security","18497","30571"
"6643348","commonwealth bank","commbank.com.au","1911","financial services","10001+","sydney, new south wales, australia","australia","linkedin.com/company/commonwealthbank","18480","43277"
"7117565","new york life insurance company","newyorklife.com","1845","financial services","10001+","new york, new york, united states","united states","linkedin.com/company/newyorklife","18438","38970"
"5048183","siemens healthcare","","","hospital & health care","10001+","erlangen, bayern, germany","germany","linkedin.com/company/siemens-healthineers","18436","38951"
"4316778","cibc","cibc.com","1867","banking","10001+","toronto, ontario, canada","canada","linkedin.com/company/cibc","18410","45353"
"3905962","adidas","adidas.com","1949","sporting goods","10001+","herzogenaurach, bavaria, germany","germany","linkedin.com/company/adidas","18402","44698"
"2001870","weatherford","weatherford.com","1987","oil & energy","10001+","houston, texas, united states","united states","linkedin.com/company/weatherford","18246","45335"
"754931","fluor corporation","fluor.com","1912","construction","10001+","irving, texas, united states","united states","linkedin.com/company/fluor","18228","47878"
"3915882","pemex","pemex.com","1938","oil & energy","10001+","mexico, distrito federal, mexico","mexico","linkedin.com/company/pemex","18137","24617"
"2202767","sopra steria","soprasteria.com","1968","information technology and services","10001+","france, aquitaine, france","france","linkedin.com/company/soprasteria","18093","44388"
"3884708","hca","hcahealthcare.com","1968","hospital & health care","10001+","nashville, tennessee, united states","united states","linkedin.com/company/hca","18069","31543"
"3894880","bmw group","bmwgroup.jobs","1916","automotive","10001+","munich, bavaria, germany","germany","linkedin.com/company/bmw","18063","41033"
"6227085","dupont","dupont.com","1802","chemicals","10001+","wilmington, delaware, united states","united states","linkedin.com/company/dupont","17997","48015"
"5068673","nessuna azienda","navisysgroup.com","","writing and editing","10001+","","","linkedin.com/company/nessuna-azienda","17994","22248"
"2519978","sears holdings corporation","searsholdings.com","2005","retail","10001+","hoffman estates, illinois, united states","united states","linkedin.com/company/sears-holdings-corporation","17952","59118"
"79355","cleveland clinic","clevelandclinic.org","1921","hospital & health care","10001+","cleveland, ohio, united states","united states","linkedin.com/company/cleveland-clinic","17891","32174"
"5728545","lafargeholcim","lafargeholcim.com","2015","building materials","10001+","jona, schwyz, switzerland","switzerland","linkedin.com/company/lafargeholcim","17859","34272"
"2353192","kohl's department stores","kohls.com","1962","retail","10001+","menomonee falls, wisconsin, united states","united states","linkedin.com/company/kohls-department-stores","17851","55906"
"6515976","humana","humana.com","1961","insurance","10001+","louisville, kentucky, united states","united states","linkedin.com/company/humana","17829","32482"
"6694537","primerica","primerica.com","1977","financial services","10001+","duluth, georgia, united states","united states","linkedin.com/company/primerica","17751","27467"
"2748281","axis bank","axisbank.com","1994","banking","10001+","bombay, maharashtra, india","india","linkedin.com/company/axis-bank","17736","30595"
"2558224","coldwell banker residential brokerage","coldwellbanker.com","1906","real estate","10001+","madison, new jersey, united states","united states","linkedin.com/company/coldwell-banker-residential-brokerage","17682","26465"
"4246946","bayer","bayer.com","1863","pharmaceuticals","10001+","leverkusen, north rhine-westphalia, germany","germany","linkedin.com/company/bayer","17592","41540"
"2772227","fujitsu","fujitsu.com","1935","information technology and services","10001+","north sydney, new south wales, australia","australia","linkedin.com/company/fujitsu","17581","54138"
"2498797","faa","faa.gov","1958","aviation & aerospace","10001+","washington, district of columbia, united states","united states","linkedin.com/company/faa","17533","25324"
"6329103","bbva","bbva.com","1857","banking","10001+","bilbao, basque country, spain","spain","linkedin.com/company/bbva","17515","37671"
"5221614","university of michigan","umich.edu","1817","higher education","10001+","ann arbor, michigan, united states","united states","linkedin.com/company/university-of-michigan","17439","51824"
"3017954","banco do brasil","bb.com.br","1808","banking","10001+","","","linkedin.com/company/bancodobrasil","17350","34787"
"2809626","fis","fisglobal.com","","information technology and services","10001+","jacksonville, florida, united states","united states","linkedin.com/company/fis","17305","32392"
"6303895","foxconn","foxconn.com","1974","electrical/electronic manufacturing","10001+","panchiao, t'ai-pei, taiwan","taiwan","linkedin.com/company/foxconn","17217","30421"
"5081681","intercontinental hotels group (ihg®)","ihgplc.com","2003","hospitality","10001+","denham, buckinghamshire, united kingdom","united kingdom","linkedin.com/company/intercontinental-hotels-group","17201","51280"
"6777743","ge power","gepower.com","","oil & energy","10001+","schenectady, new york, united states","united states","linkedin.com/company/gepower","17184","39409"
"2492847","epam systems","epam.com","1993","computer software","10001+","newtown, pennsylvania, united states","united states","linkedin.com/company/epam-systems","17180","26118"
"3927744","pearson","pearson.com","1844","education management","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/pearson","17153","42688"
"649918","national australia bank","nab.com.au","1858","banking","10001+","melbourne, victoria, australia","australia","linkedin.com/company/national-australia-bank","17116","41910"
"5616621","reliance","ril.com","1966","oil & energy","10001+","bombay, maharashtra, india","india","linkedin.com/company/reliance","17020","34889"
"2851728","jcpenney","jcpenney.com","1902","retail","10001+","plano, texas, united states","united states","linkedin.com/company/jcpenney","16930","55293"
"6609862","imss","imss.ge","2002","hospital & health care","10001+","mexico, distrito federal, mexico","mexico","linkedin.com/company/imss","16922","18612"
"3540520","bradesco","bradesco.com.br","1943","banking","10001+","osasco, sao paulo, brazil","brazil","linkedin.com/company/bradesco","16917","39194"
"1799266","boston scientific","bostonscientific.com","1979","medical devices","10001+","marlborough, massachusetts, united states","united states","linkedin.com/company/boston-scientific","16903","40046"
"4287803","stay at home mom","","","law practice","10001+","","","linkedin.com/company/shervin-immigration-and-business-center","16823","17168"
"2283091","lenovo","lenovo.com","2005","computer hardware","10001+","morrisville, north carolina, united states","united states","linkedin.com/company/lenovo","16797","34168"
"4519448","nationwide insurance","nationwide.com","","insurance","10001+","","","linkedin.com/company/nationwide","16794","36425"
"1426924","nissan motor corporation","nissan-global.com","1933","automotive","10001+","yokohama, kanagawa, japan","japan","linkedin.com/company/nissan-motor-corporation","16756","36526"
"4128741","amazon web services","","2006","information technology and services","10001+","seattle, washington, united states","united states","linkedin.com/company/amazon-web-services","16751","21393"
"5082432","philip morris international","pmi.com","2008","tobacco","10001+","new york, new york, united states","united states","linkedin.com/company/insidepmi","16683","43070"
"4276215","alstom","alstom.com","1928","railroad manufacture","10001+","washington, pennsylvania, united states","united states","linkedin.com/company/alstom","16661","40685"
"5058764","cummins inc.","cummins.com","1919","automotive","10001+","columbus, indiana, united states","united states","linkedin.com/company/cummins-inc","16625","36131"
"5572730","centurylink","centurylink.com","1930","telecommunications","10001+","monroe, louisiana, united states","united states","linkedin.com/company/centurylink","16598","27721"
"328477","psa peugeot citroën","groupe-psa.com","1976","automotive","10001+","paris, île-de-france, france","france","linkedin.com/company/groupepsa","16563","43205"
"6660667","european commission","europa.eu","1958","government administration","10001+","brussels, brussels hoofdstedelijk gewest, belgium","belgium","linkedin.com/company/european-commission","16546","42726"
"512904","amgen","amgen.com","1980","biotechnology","10001+","thousand oaks, california, united states","united states","linkedin.com/company/amgen","16533","38225"
"2433170","abn amro bank n.v.","abnamro.nl","1817","banking","10001+","amsterdam, noord-holland, netherlands","netherlands","linkedin.com/company/abn-amro","16510","82764"
"5807027","cvs pharmacy","","1963","pharmaceuticals","10001+","woonsocket, rhode island, united states","united states","linkedin.com/company/cvs-pharmacy","16445","43300"
"984683","trw","zf.com","1915","automotive","10001+","","","linkedin.com/company/zf-group","16444","38787"
"5454895","ncr corporation","ncr.com","1884","information technology and services","10001+","duluth, georgia, united states","united states","linkedin.com/company/ncr-corporation","16404","45468"
"876910","akzonobel","akzonobel.com","1994","chemicals","10001+","amsterdam, noord-holland, netherlands","netherlands","linkedin.com/company/akzonobel","16375","41399"
"299310","amdocs","amdocs.com","1982","telecommunications","10001+","chesterfield, missouri, united states","united states","linkedin.com/company/amdocs","16108","33663"
"6967442","abbvie","abbvie.com","2013","pharmaceuticals","10001+","north chicago, illinois, united states","united states","linkedin.com/company/abbvie","16096","24703"
"2834957","arcelormittal","arcelormittal.com","2006","mining & metals","10001+","none, south carolina, united states","united states","linkedin.com/company/arcelormittal","16090","36290"
"6480111","free lance","dottorpaolo.com","","internet","10001+","","","linkedin.com/company/free-lance_38","15992","18362"
"654491","jaguar land rover","jaguarlandrovercareers.com","1922","automotive","10001+","sandwell, sandwell, united kingdom","united kingdom","linkedin.com/company/jaguar-land-rover_1","15929","28186"
"5095679","autônoma","sirin.com.br","","human resources","10001+","","","linkedin.com/company/aut-noma_6","15911","18288"
"3645134","sgs","sgs.com","1878","international trade and development","10001+","geneva, geneva, switzerland","switzerland","linkedin.com/company/sgs","15907","37834"
"1779526","wipro infotech","","1945","information technology and services","10001+","bangalore, karnataka, india","india","linkedin.com/company/wipro-infotech","15834","40554"
"5044856","aramark","aramark.com","1939","retail","10001+","philadelphia, pennsylvania, united states","united states","linkedin.com/company/aramark","15833","46456"
"3703865","ministero istruzione, universita' e ricerca","miur.it","","government administration","10001+","","","linkedin.com/company/ministero-istruzione-universita'-e-ricerca","15829","18421"
"6390452","samsung","","1969","consumer electronics","10001+","new york, new york, united states","united states","linkedin.com/company/samsung","15818","31678"
"5753837","kuehne + nagel","kuehne-nagel.com","1890","logistics and supply chain","10001+","schindellegi, schwyz, switzerland","switzerland","linkedin.com/company/kuehne-nagel","15815","34164"
"1314805","cerner corporation","cerner.com","1979","information technology and services","10001+","kansas city, missouri, united states","united states","linkedin.com/company/cerner-corporation","15781","28081"
"5339583","mckinsey & company","mckinsey.com","","management consulting","10001+","","","linkedin.com/company/mckinsey","15771","42694"
"6248695","kimberly-clark","careersatkc.com","1872","consumer goods","10001+","seminole, texas, united states","united states","linkedin.com/company/kimberly-clark","15758","41594"
"1929568","caixa economica federal","caixa.gov.br","1861","banking","10001+","brasília, federal district, brazil","brazil","linkedin.com/company/caixa-economica-federal","15754","32283"
"3067312","biocolloids fate and transport in environmental systems, network biomet","","","retail","10001+","","","linkedin.com/company/biocolloids-fate-and-transport-in-environmental-systems-network-biomet","15733","15885"
"3328830","agilent technologies","agilent.com","1999","biotechnology","10001+","santa clara, california, united states","united states","linkedin.com/company/agilent-technologies","15704","35128"
